Palabra;Categoría Gramatical;Oxford3000;Oxford5000;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice
alliance;noun;-1;c1;0.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
allocate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
allocation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
allow;verb;a2;a2;12;7.0;8.0;0.0;2.0;3.0;16.0;10.0;11.0;3.0;3.0;0.0;31.0
allowance;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0
ally;noun;-1;c1;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0
almost;adverb;a2;a2;131;121.0;230.0;47.0;44.0;30.0;84.0;90.0;77.0;23.0;158.0;19.0;59.0
alone;adjective;a2;a2;106;84.0;116.0;20.0;27.0;27.0;48.0;59.0;64.0;61.0;72.0;4.0;30.0
alone;adverb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
along;adverb;a2;a2;85;134.0;182.0;32.0;40.0;57.0;82.0;135.0;61.0;92.0;76.0;18.0;9.0
along;preposition;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
alongside;preposition;-1;b2;2;1.0;5.0;1.0;6.0;2.0;5.0;3.0;7.0;10.0;4.0;0.0;0.0
already;adverb;a2;a2;52;37.0;50.0;43.0;28.0;45.0;59.0;109.0;113.0;86.0;70.0;6.0;28.0
also;adverb;a1;a1;25;22.0;26.0;15.0;22.0;15.0;35.0;62.0;33.0;44.0;48.0;3.0;34.0
alter;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
alternative;adjective;b1;b1;0.0;0.0;0.0;1.0;0.0;0.0;3.0;6.0;1.0;2.0;0.0;0.0;3.0
alternative;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
although;conjunction;a2;a2;12;4.0;3.0;11.0;3.0;1.0;7.0;10.0;38.0;25.0;6.0;0.0;1.0
altogether;adverb;-1;b2;4;0.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0;6.0;6.0;8.0;8.0
aluminium;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
always;adverb;a1;a1;147;181.0;222.0;41.0;37.0;32.0;69.0;108.0;61.0;68.0;125.0;6.0;119.0
amateur;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
