Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
waarschijnlijk;65.0;0.0;15.0;4.0;1.0;85.0
kreeg;28.0;0.0;33.0;23.0;0.0;84.0
maakte;16.0;2.0;35.0;31.0;0.0;84.0
boven;31.0;1.0;21.0;25.0;6.0;84.0
anderen;17.0;0.0;37.0;30.0;0.0;84.0
open;54.0;3.0;19.0;8.0;0.0;84.0
houden;39.0;0.0;22.0;20.0;2.0;83.0
geven;45.0;1.0;9.0;26.0;2.0;83.0
zette;4.0;10.0;42.0;26.0;0.0;82.0
wachten;56.0;0.0;9.0;16.0;1.0;82.0
stad;31.0;0.0;3.0;46.0;1.0;81.0
stem;31.0;4.0;26.0;10.0;10.0;81.0
december;79.0;0.0;0.0;2.0;0.0;81.0
vier;55.0;0.0;8.0;17.0;1.0;81.0
goede;42.0;0.0;16.0;18.0;5.0;81.0
maas;80.0;0.0;0.0;0.0;0.0;80.0
daarna;37.0;1.0;28.0;14.0;0.0;80.0
deventer;80.0;0.0;0.0;0.0;0.0;80.0
geld;40.0;0.0;14.0;15.0;10.0;79.0
meier;79.0;0.0;0.0;0.0;0.0;79.0
lag;8.0;2.0;24.0;43.0;2.0;79.0
boot;5.0;0.0;0.0;74.0;0.0;79.0
hoorde;16.0;5.0;41.0;16.0;1.0;79.0
dien;1.0;0.0;0.0;64.0;13.0;78.0
gelukkig;21.0;0.0;20.0;35.0;2.0;78.0
water;8.0;11.0;12.0;46.0;1.0;78.0
bovendien;38.0;0.0;28.0;12.0;0.0;78.0
naast;42.0;4.0;17.0;11.0;4.0;78.0
beter;30.0;1.0;36.0;10.0;0.0;77.0
gezegd;50.0;1.0;23.0;3.0;0.0;77.0
bijna;34.0;1.0;30.0;12.0;0.0;77.0
hoewel;29.0;0.0;23.0;23.0;1.0;76.0
terwijl;20.0;3.0;23.0;27.0;3.0;76.0
gebeurd;55.0;1.0;14.0;6.0;0.0;76.0
tafel;26.0;0.0;17.0;32.0;1.0;76.0
verlaten;29.0;0.0;13.0;30.0;3.0;75.0
vaak;41.0;1.0;16.0;15.0;2.0;75.0
collega;57.0;0.0;18.0;0.0;0.0;75.0
zee;5.0;0.0;4.0;66.0;0.0;75.0
reeds;;;2.0;62.0;11.0;75.0
precies;65.0;0.0;8.0;2.0;0.0;75.0
vol;19.0;0.0;20.0;20.0;16.0;75.0
bed;22.0;1.0;27.0;24.0;0.0;74.0
eigenlijk;53.0;1.0;16.0;4.0;0.0;74.0
zeer;18.0;2.0;0.0;54.0;0.0;74.0
zullen;49.0;3.0;6.0;14.0;2.0;74.0
morgen;33.0;0.0;17.0;23.0;0.0;73.0
beetje;50.0;0.0;16.0;7.0;0.0;73.0
gevoel;44.0;2.0;23.0;1.0;3.0;73.0
men;5.0;0.0;6.0;44.0;17.0;72.0
rond;40.0;2.0;17.0;11.0;2.0;72.0
liggen;31.0;0.0;14.0;26.0;0.0;71.0
kwamen;13.0;1.0;17.0;40.0;0.0;71.0
persoon;40.0;1.0;26.0;4.0;0.0;71.0
ongeveer;4.0;2.0;6.0;59.0;0.0;71.0
dacht;26.0;0.0;37.0;7.0;1.0;71.0
koffie;58.0;0.0;13.0;0.0;0.0;71.0
langs;34.0;3.0;8.0;19.0;7.0;71.0
graag;58.0;5.0;6.0;1.0;0.0;70.0
jaren;37.0;0.0;21.0;6.0;6.0;70.0
bang;43.0;0.0;22.0;5.0;0.0;70.0
konden;8.0;2.0;23.0;37.0;0.0;70.0
gegeven;31.0;0.0;14.0;23.0;2.0;70.0
geheele;;;;70.0;0.0;70.0
enkel;9.0;3.0;53.0;1.0;3.0;69.0
oude;28.0;1.0;18.0;16.0;6.0;69.0
echt;40.0;1.0;24.0;0.0;4.0;69.0
tijdens;34.0;1.0;23.0;11.0;0.0;69.0
jou;53.0;2.0;14.0;0.0;0.0;69.0
vaderland;;;;28.0;40.0;68.0
voelt;63.0;0.0;1.0;0.0;4.0;68.0
thuis;41.0;0.0;22.0;5.0;0.0;68.0
zichzelf;35.0;5.0;25.0;2.0;0.0;67.0
pijn;40.0;3.0;20.0;2.0;2.0;67.0
gemaakt;33.0;0.0;14.0;20.0;0.0;67.0
des;6.0;0.0;0.0;34.0;27.0;67.0
boord;;;;67.0;0.0;67.0
zoodat;;;;67.0;0.0;67.0
inderdaad;55.0;1.0;11.0;0.0;0.0;67.0
maakt;53.0;0.0;11.0;1.0;2.0;67.0
half;40.0;1.0;12.0;11.0;3.0;67.0
vertellen;47.0;0.0;7.0;12.0;0.0;66.0
denk;40.0;4.0;22.0;0.0;0.0;66.0
matthieu;;;66.0;0.0;0.0;66.0
lichaam;24.0;2.0;29.0;11.0;0.0;66.0
klinkt;52.0;0.0;8.0;0.0;6.0;66.0
gevonden;41.0;0.0;6.0;18.0;0.0;65.0
los;28.0;3.0;14.0;19.0;1.0;65.0
vader;14.0;16.0;22.0;4.0;9.0;65.0
langzaam;24.0;0.0;20.0;21.0;0.0;65.0
bevel;;;1.0;64.0;0.0;65.0
ooit;19.0;1.0;26.0;9.0;9.0;64.0
moeder;18.0;10.0;26.0;3.0;7.0;64.0
gekomen;18.0;1.0;9.0;36.0;0.0;64.0
best;35.0;0.0;22.0;7.0;0.0;64.0
wolff;64.0;0.0;0.0;0.0;0.0;64.0
geeft;50.0;0.0;3.0;0.0;11.0;64.0
vooral;23.0;0.0;21.0;18.0;1.0;63.0
weder;;;;56.0;7.0;63.0
gesprek;37.0;1.0;12.0;13.0;0.0;63.0
lange;30.0;1.0;14.0;17.0;1.0;63.0
vijf;40.0;0.0;11.0;12.0;0.0;63.0
eten;35.0;1.0;5.0;22.0;0.0;63.0
vrij;39.0;0.0;9.0;5.0;9.0;62.0
zie;20.0;0.0;25.0;0.0;17.0;62.0
bracht;2.0;2.0;23.0;33.0;1.0;61.0
reis;6.0;1.0;2.0;52.0;0.0;61.0
schudt;61.0;0.0;0.0;0.0;0.0;61.0
informatie;57.0;0.0;4.0;0.0;0.0;61.0
volgende;33.0;0.0;23.0;5.0;0.0;61.0
eenige;;;;61.0;0.0;61.0
ligt;50.0;0.0;7.0;1.0;3.0;61.0
waarin;14.0;1.0;16.0;25.0;4.0;60.0
jabar;;;60.0;0.0;0.0;60.0
simon;;;60.0;0.0;0.0;60.0
elke;38.0;0.0;17.0;5.0;0.0;60.0
gehoord;40.0;0.0;10.0;10.0;0.0;60.0
waarop;22.0;0.0;10.0;27.0;1.0;60.0
denkt;52.0;0.0;5.0;0.0;3.0;60.0
diep;18.0;2.0;30.0;6.0;3.0;59.0
trok;2.0;2.0;36.0;19.0;0.0;59.0
allen;5.0;0.0;10.0;34.0;10.0;59.0
hoort;43.0;0.0;4.0;0.0;12.0;59.0
bellen;54.0;0.0;5.0;0.0;0.0;59.0
gebracht;16.0;1.0;11.0;29.0;2.0;59.0
samen;36.0;3.0;15.0;4.0;1.0;59.0
avond;21.0;0.0;13.0;24.0;0.0;58.0
onderzoek;41.0;3.0;11.0;3.0;0.0;58.0
beide;24.0;0.0;3.0;31.0;0.0;58.0
tweede;35.0;1.0;13.0;9.0;0.0;58.0
nacht;15.0;0.0;20.0;21.0;2.0;58.0
alicia;;;58.0;0.0;0.0;58.0
woord;18.0;0.0;28.0;5.0;6.0;57.0
matrozen;;;;57.0;0.0;57.0
kant;41.0;1.0;10.0;3.0;2.0;57.0
nodig;34.0;3.0;20.0;0.0;0.0;57.0
denken;27.0;2.0;21.0;7.0;0.0;57.0
minder;22.0;0.0;23.0;12.0;0.0;57.0
hele;35.0;2.0;20.0;0.0;0.0;57.0
armen;8.0;4.0;26.0;14.0;5.0;57.0
genomen;22.0;1.0;13.0;21.0;0.0;57.0
doch;;;;50.0;7.0;57.0
geert;57.0;0.0;0.0;0.0;0.0;57.0
trekt;57.0;0.0;0.0;0.0;0.0;57.0
reden;36.0;0.0;14.0;4.0;2.0;56.0
erg;35.0;1.0;19.0;1.0;0.0;56.0
week;39.0;1.0;12.0;4.0;0.0;56.0
nadat;13.0;0.0;14.0;29.0;0.0;56.0
mond;16.0;2.0;29.0;7.0;2.0;56.0
kind;7.0;1.0;33.0;9.0;6.0;56.0
ander;23.0;1.0;18.0;13.0;1.0;56.0
horen;41.0;0.0;15.0;0.0;0.0;56.0
gewoon;37.0;1.0;14.0;3.0;0.0;55.0
jongens;50.0;1.0;3.0;1.0;0.0;55.0
ter;11.0;1.0;16.0;14.0;13.0;55.0
meende;5.0;0.0;16.0;34.0;0.0;55.0
kom;30.0;5.0;19.0;0.0;1.0;55.0
enige;34.0;0.0;21.0;0.0;0.0;55.0
paleis;;;;55.0;0.0;55.0
opdracht;47.0;0.0;3.0;4.0;0.0;54.0
bloed;19.0;1.0;19.0;1.0;14.0;54.0
stonden;6.0;2.0;19.0;24.0;3.0;54.0
antwoordt;54.0;0.0;0.0;0.0;0.0;54.0
blijft;40.0;0.0;3.0;0.0;11.0;54.0
deel;23.0;4.0;8.0;18.0;1.0;54.0
pas;27.0;0.0;22.0;3.0;2.0;54.0
viel;9.0;3.0;21.0;14.0;7.0;54.0
eindelijk;4.0;0.0;14.0;32.0;4.0;54.0
koningin;;;;54.0;0.0;54.0
hoop;14.0;0.0;12.0;26.0;1.0;53.0
voordat;41.0;0.0;1.0;11.0;0.0;53.0
besloot;5.0;0.0;18.0;30.0;0.0;53.0
nou;6.0;0.0;47.0;0.0;0.0;53.0
langer;23.0;1.0;16.0;9.0;4.0;53.0
mede;2.0;0.0;1.0;49.0;1.0;53.0
moesten;12.0;0.0;5.0;33.0;3.0;53.0
stellen;28.0;0.0;8.0;17.0;0.0;53.0
mag;31.0;2.0;10.0;0.0;10.0;53.0
manier;38.0;1.0;11.0;3.0;0.0;53.0
eerder;21.0;1.0;30.0;0.0;0.0;52.0
iedere;8.0;4.0;25.0;15.0;0.0;52.0
vrienden;25.0;0.0;16.0;10.0;1.0;52.0
lopen;46.0;1.0;5.0;0.0;0.0;52.0
reus;;;;52.0;0.0;52.0
ni;;52.0;0.0;0.0;0.0;52.0
uren;9.0;0.0;21.0;22.0;0.0;52.0
rustig;25.0;1.0;10.0;15.0;1.0;52.0
neer;18.0;3.0;17.0;13.0;1.0;52.0
dezelfde;22.0;0.0;15.0;14.0;0.0;51.0
afgelopen;38.0;0.0;13.0;0.0;0.0;51.0
kinderen;16.0;5.0;14.0;15.0;1.0;51.0
tien;31.0;2.0;8.0;10.0;0.0;51.0
begint;48.0;0.0;3.0;0.0;0.0;51.0
groep;31.0;2.0;17.0;1.0;0.0;51.0
zetten;20.0;1.0;14.0;16.0;0.0;51.0
angst;25.0;0.0;21.0;5.0;0.0;51.0
praten;30.0;1.0;13.0;6.0;1.0;51.0
valt;44.0;0.0;5.0;0.0;2.0;51.0
tom;51.0;0.0;0.0;0.0;0.0;51.0
maarten;51.0;0.0;0.0;0.0;0.0;51.0
krijgen;24.0;1.0;12.0;14.0;0.0;51.0
scheen;;;1.0;48.0;2.0;51.0
boek;21.0;0.0;28.0;1.0;0.0;50.0
geleden;28.0;0.0;13.0;7.0;2.0;50.0
lucht;6.0;6.0;21.0;16.0;1.0;50.0
brooks;50.0;0.0;0.0;0.0;0.0;50.0
kans;31.0;2.0;16.0;1.0;0.0;50.0
hoogte;23.0;0.0;4.0;23.0;0.0;50.0
geheel;10.0;0.0;1.0;39.0;0.0;50.0
rust;13.0;0.0;15.0;11.0;11.0;50.0
