Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
whole;adjective;a2;a2;1.0;37.0;61.0;66.0;33.0;49.0;40.0;52.0;74.0;55.0;57.0;110.0;9.0;79.0;722.0
however;adverb;a1;a1;1.0;13.0;20.0;47.0;21.0;43.0;36.0;111.0;82.0;98.0;80.0;36.0;0.0;134.0;721.0
mcgonagall;;;;;0.0;;;100.0;91.0;103.0;95.0;177.0;84.0;70.0;0.0;0.0;0.0;720.0
alone;adjective;a2;a2;1.0;106.0;84.0;116.0;20.0;27.0;27.0;48.0;59.0;64.0;61.0;72.0;4.0;30.0;718.0
yeah;exclamation;a1;a1;1.0;0.0;0.0;0.0;21.0;18.0;46.0;145.0;257.0;111.0;115.0;2.0;0.0;0.0;715.0
morning;noun;a1;a1;1.0;79.0;95.0;112.0;32.0;23.0;37.0;64.0;81.0;40.0;31.0;42.0;0.0;79.0;715.0
five;number;a1;a1;1.0;45.0;52.0;108.0;34.0;30.0;47.0;71.0;127.0;61.0;21.0;79.0;2.0;32.0;709.0
iron;noun;b1;b1;2.0;123.0;180.0;174.0;3.0;2.0;2.0;2.0;13.0;6.0;7.0;175.0;18.0;0.0;705.0
quickly;adverb;a1;a1;1.0;39.0;34.0;43.0;44.0;55.0;60.0;71.0;99.0;66.0;36.0;143.0;10.0;4.0;704.0
stannis;;;;;83.0;386.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;703.0
kept;;;;;84.0;66.0;104.0;38.0;34.0;40.0;74.0;77.0;32.0;51.0;78.0;7.0;17.0;702.0
wouldn;;;;;39.0;48.0;71.0;53.0;42.0;54.0;89.0;74.0;71.0;49.0;101.0;11.0;0.0;702.0
rather;adverb;a2;a2;1.0;31.0;32.0;30.0;22.0;19.0;29.0;63.0;165.0;97.0;68.0;84.0;6.0;55.0;701.0
kill;verb;a2;a2;1.0;95.0;105.0;180.0;20.0;31.0;30.0;17.0;53.0;42.0;70.0;55.0;0.0;1.0;699.0
work;noun;a1;a1;1.0;50.0;77.0;71.0;28.0;26.0;33.0;80.0;78.0;61.0;61.0;98.0;14.0;21.0;698.0
