"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎복도에 괴이한 것이 있었다	‎복도에 괴이한 것이 있었다
‎괴이한 것이라니요?	‎괴이한 것이라니요?
‎짐승의 소리	‎짐승의 소리
‎지독한 피비린내에 악취까지	‎지독한 피비린내에 악취까지
‎사람이 아니었다 ‎괴물의 형상이었다	‎사람이 아니었다 ‎괴물의 형상이었다
‎그럴 리가 있습니까?	‎그럴 리가 있습니까?
‎강녕전에 괴물이라니요	‎강녕전에 괴물이라니요
‎헛것을 보신 게 아닙니까?	‎헛것을 보신 게 아닙니까?
‎지금 내 말을 못 믿는 것이냐	‎지금 내 말을 못 믿는 것이냐
‎며칠을 석고대죄하셨으니 ‎몸이 허해지실 만도 하십니다	‎며칠을 석고대죄하셨으니 ‎몸이 허해지실 만도 하십니다
‎동궁전으로 돌아가셔서	‎동궁전으로 돌아가셔서
‎(범일) ‎내의원의 진맥을 받아 보시는 것이 ‎좋을 듯합니다	‎(범일) ‎내의원의 진맥을 받아 보시는 것이 ‎좋을 듯합니다
‎동궁전 궁인들에게 ‎저하를 뫼시라 일러라	‎동궁전 궁인들에게 ‎저하를 뫼시라 일러라
‎[한숨]	‎[한숨]
‎[의미심장한 효과음]	‎[의미심장한 효과음]
‎아바마마는 찾았느냐	‎아바마마는 찾았느냐
‎무슨 말씀을 하시는 겁니까?	‎무슨 말씀을 하시는 겁니까?
‎전하께선 지금 침전에 누워 계십니다	‎전하께선 지금 침전에 누워 계십니다
‎침전에 계신다?	‎침전에 계신다?
‎그렇다면 내 눈으로 ‎직접 확인하면 될 일	‎그렇다면 내 눈으로 ‎직접 확인하면 될 일
‎(범일) ‎저하, 걸음을 멈추십시오	‎(범일) ‎저하, 걸음을 멈추십시오
‎(창) ‎아바마마, 소자이옵니다!	‎(창) ‎아바마마, 소자이옵니다!
‎(범일) ‎걸음을 멈추십시오, 저하	‎(범일) ‎걸음을 멈추십시오, 저하
‎- (창) 문을 열거라 ‎- (범일) 아니 되옵니다	‎- (창) 문을 열거라 ‎- (범일) 아니 되옵니다
‎문을 열거라, 어서!	‎문을 열거라, 어서!
‎[긴장되는 음악]	‎[긴장되는 음악]
‎감히 지금 내 앞에서	‎감히 지금 내 앞에서
‎칼을 빼 든 것이냐	‎칼을 빼 든 것이냐
‎중전마마의 명이 계셨습니다	‎중전마마의 명이 계셨습니다
‎왕실의 법도를 지키는 것입니다	‎왕실의 법도를 지키는 것입니다
‎일개 금군별장이	‎일개 금군별장이
‎왕족의 피를 감당할 수 있겠는가	‎왕족의 피를 감당할 수 있겠는가
‎있다면	‎있다면
‎베어라	‎베어라
‎아바마마께서는 어디 계시오?	‎아바마마께서는 어디 계시오?
